ZCTA,lat,lon,city
22003,38.8308,-77.21402,Annandale
22015,38.78784,-77.28136,Burke
22025,38.59874,-77.3491,Dumfries
22026,38.56717,-77.29476,Dumfries
22027,38.89411,-77.22159,Dunn Loring
22030,38.83891,-77.34188,Fairfax
22031,38.85954,-77.2599,Fairfax
22032,38.82012,-77.29032,Fairfax
22033,38.87564,-77.38419,Fairfax
22035,38.85628,-77.36269,Fairfax
22039,38.74992,-77.31536,Fairfax Station
22041,38.8485,-77.14212,Falls Church
22042,38.86463,-77.19406,Falls Church
22043,38.90076,-77.19746,Falls Church
22044,38.85957,-77.15627,Falls Church
22046,38.88696,-77.18025,Falls Church
22060,38.70525,-77.15636,Fort Belvoir
22066,39.01032,-77.30258,Great Falls
22079,38.67998,-77.2055,Lorton
22101,38.9386,-77.16513,McLean
22102,38.95199,-77.22901,McLean
22124,38.8909,-77.33025,Oakton
22125,38.68217,-77.26073,Occoquan
22134,38.53186,-77.409,Quantico
22150,38.77198,-77.18605,Springfield
22151,38.80283,-77.2096,Springfield
22152,38.77564,-77.23149,Springfield
22153,38.74443,-77.23451,Springfield
22172,38.5742,-77.3895,Triangle
22180,38.89619,-77.25426,Vienna
22181,38.9053,-77.29466,Vienna
22182,38.93611,-77.2736,Vienna
22191,38.6249,-77.26849,Woodbridge
22192,38.68358,-77.31821,Woodbridge
22193,38.64233,-77.34881,Woodbridge
22201,38.88684,-77.09501,Arlington
22202,38.8569,-77.05175,Arlington
22203,38.87377,-77.1164,Arlington
22204,38.86076,-77.09894,Arlington
22205,38.88337,-77.13948,Arlington
22206,38.8442,-77.0886,Arlington
22207,38.90665,-77.12384,Arlington
22209,38.89413,-77.07309,Arlington
22211,38.88011,-77.07482,Fort Myer
22213,38.89459,-77.16239,Arlington
22214,38.87499,-77.06501,Arlington
22301,38.81995,-77.05934,Alexandria
22302,38.82799,-77.08432,Alexandria
22303,38.794,-77.08175,Alexandria
22304,38.81361,-77.11498,Alexandria
22305,38.83655,-77.06234,Alexandria
22306,38.75655,-77.09254,Alexandria
22307,38.7708,-77.05694,Alexandria
22308,38.72957,-77.05876,Alexandria
22309,38.71931,-77.10724,Alexandria
22310,38.78447,-77.12231,Alexandria
22311,38.83442,-77.12313,Alexandria
22312,38.81685,-77.15372,Alexandria
22314,38.80732,-77.0563,Alexandria
22315,38.75735,-77.14803,Alexandria
22401,38.29928,-77.48704,Fredericksburg
22405,38.31568,-77.40377,Fredericksburg
22406,38.39964,-77.55596,Fredericksburg
22407,38.28581,-77.58055,Fredericksburg
22408,38.21916,-77.44013,Fredericksburg
22427,38.07177,-77.28624,Bowling Green
22432,37.8637,-76.35043,Burgess
22433,38.35875,-77.86093,Burr Hill
22435,37.97216,-76.57288,Callao
22436,38.04698,-77.07471,Caret
22437,37.7764,-76.8156,Center Cross
22438,38.03788,-76.99971,Champlain
22443,38.18078,-76.99776,Colonial Beach
22448,38.33996,-77.03238,Dahlgren
22454,37.83599,-76.85032,Dunnsville
22460,37.87612,-76.60692,Farnham
22469,38.0667,-76.64749,Hague
22472,37.95897,-76.67257,Haynesville
22473,37.88316,-76.41386,Heathsville
22476,38.03807,-77.06872,Hustle
22480,37.66631,-76.41498,Irvington
22482,37.73723,-76.35245,Kilmarnock
22485,38.2717,-77.15996,King George
22488,38.04986,-76.58796,Kinsale
22503,37.7624,-76.50432,Lancaster
22504,37.76346,-76.72675,Laneview
22508,38.31732,-77.7913,Locust Grove
22509,38.10642,-77.06669,Loretto
22511,37.98352,-76.50323,Lottsburg
22514,37.9724,-77.24471,Milford
22520,38.11651,-76.80634,Montross
22529,38.01036,-76.67942,Oldhams
22534,38.08473,-77.67062,Partlow
22535,38.12314,-77.19619,Port Royal
22538,38.18941,-77.27334,Rappahannock Academy
22539,37.85865,-76.28731,Reedville
22542,38.29348,-77.88837,Rhoadesville
22546,37.94342,-77.44565,Ruther Glen
22548,37.82929,-76.69256,Sharps
22551,38.17273,-77.70575,Spotsylvania
22553,38.26594,-77.6397,Spotsylvania
22554,38.42285,-77.3835,Stafford
22556,38.48624,-77.513,Stafford
22560,37.91289,-76.96196,Tappahannock
22567,38.23395,-77.92401,Unionville
22572,37.97552,-76.77495,Warsaw
22576,37.69398,-76.43277,Weems
22578,37.65063,-76.36268,White Stone
22580,38.10941,-77.44419,Woodford
22601,39.1743,-78.1743,Winchester
22602,39.1508,-78.26555,Winchester
22603,39.28153,-78.2056,Winchester
22610,38.81803,-78.28102,Bentonville
22611,39.16374,-77.98512,Berryville
22620,39.06417,-78.03317,Boyce
22623,38.85158,-78.13734,Chester Gap
22624,39.26535,-78.09507,Clear Brook
22625,39.37397,-78.31172,Cross Junction
22627,38.76554,-78.11371,Flint Hill
22630,38.92909,-78.18052,Front Royal
22637,39.25057,-78.3605,Gore
22639,38.82625,-78.0321,Hume
22640,38.80737,-78.13302,Huntly
22641,39.07795,-78.38588,Strasburg
22642,38.91532,-78.06538,Linden
22643,38.9034,-78.00801,Markham
22644,38.96362,-78.5314,Maurertown
22645,39.02152,-78.27457,Middletown
22646,39.07019,-78.04803,Millwood
22650,38.75893,-78.35817,Rileyville
22652,38.83921,-78.42894,Fort Valley
22654,39.06863,-78.4586,Star Tannery
22655,39.06443,-78.21425,Stephens City
22656,39.21723,-78.08901,Stephenson
22657,39.00155,-78.36755,Strasburg
22660,38.95628,-78.4383,Toms Brook
22663,39.05,-78.11716,White Post
22664,38.8944,-78.53119,Woodstock
22701,38.44038,-77.99633,Culpeper
22709,38.32769,-78.21732,Aroda
22711,38.46239,-78.27634,Banco
22712,38.55632,-77.75884,Bealeton
22713,38.54123,-78.13204,Boston
22714,38.52068,-77.89363,Brandy Station
22715,38.41032,-78.18541,Brightwood
22716,38.62596,-78.10794,Castleton
22718,38.47076,-77.82026,Elkwood
22719,38.52888,-78.28337,Etlan
22720,38.48044,-77.6468,Goldvein
22722,38.46304,-78.22645,Haywood
22723,38.33789,-78.38821,Hood
22724,38.63286,-77.90752,Jeffersonton
22725,38.44029,-78.1527,Leon
22726,38.40179,-77.81796,Lignum
22727,38.39626,-78.30058,Madison
22728,38.57773,-77.68639,Midland
22729,38.35658,-78.01596,Mitchells
22730,38.36782,-78.16635,Oakpark
22731,38.34413,-78.26151,Pratts
22732,38.30886,-78.19153,Radiant
22733,38.33191,-78.0467,Rapidan
22734,38.52757,-77.81119,Remington
22735,38.47941,-78.18336,Reva
22736,38.39633,-77.69673,Richardsville
22737,38.59024,-78.00205,Rixeyville
22738,38.28692,-78.27685,Rochelle
22740,38.63805,-78.26163,Sperryville
22741,38.44541,-77.86819,Stevensburg
22742,38.4589,-77.71179,Sumerduck
22743,38.52477,-78.37132,Syria
22746,38.62922,-78.0195,Viewtown
22747,38.7122,-78.16768,Washington
22749,38.61945,-78.18394,Woodville
22801,38.40519,-78.87931,Harrisonburg
22802,38.50016,-78.8585,Harrisonburg
22807,38.43495,-78.86736,Harrisonburg
22810,38.84466,-78.78554,Basye
22811,38.79264,-78.9757,Bergton
22812,38.37934,-79.03836,Bridgewater
22815,38.63469,-78.80939,Broadway
22820,38.74387,-79.00948,Criders
22821,38.46349,-79.0743,Dayton
22824,38.84743,-78.6278,Edinburg
22827,38.3903,-78.6131,Elkton
22830,38.65789,-78.97902,Fulks Run
22831,38.56395,-79.10005,Hinton
22832,38.45778,-78.75692,Keezletown
22834,38.55709,-78.85769,Linville
22835,38.67199,-78.4548,Luray
22840,38.38642,-78.73845,McGaheysville
22841,38.33887,-78.89417,Mount Crawford
22842,38.77191,-78.6992,Mount Jackson
22843,38.36703,-79.16053,Mount Solon
22844,38.65886,-78.66038,New Market
22845,38.77991,-78.8375,Orkney Springs
22846,38.38791,-78.79239,Penn Laird
22847,38.71792,-78.70972,Quicksburg
22849,38.5256,-78.6253,Shenandoah
22850,38.56668,-78.92048,Singers Glen
22851,38.56061,-78.51061,Stanley
22853,38.65156,-78.76406,Timberville
22901,38.08874,-78.55569,Charlottesville
22902,37.95566,-78.46883,Charlottesville
22903,38.01239,-78.60159,Charlottesville
22904,38.03492,-78.51161,Charlottesville
22908,38.03103,-78.49639,Charlottesville
22911,38.09522,-78.4078,Charlottesville
22920,37.97294,-78.81276,Afton
22922,37.68621,-78.92511,Arrington
22923,38.18671,-78.32405,Barboursville
22931,37.90374,-78.71696,Covesville
22932,38.15037,-78.69743,Crozet
22935,38.25785,-78.55474,Dyke
22936,38.1671,-78.49974,Earlysville
22937,37.81297,-78.60891,Esmont
22938,37.86256,-78.78248,Faber
22939,38.10575,-78.97288,Fishersville
22940,38.20559,-78.59705,Free Union
22942,38.10397,-78.19684,Gordonsville
22943,38.04508,-78.78369,Greenwood
22946,37.84789,-78.56053,Keene
22947,38.04326,-78.32624,Keswick
22948,38.35154,-78.12264,Locust Dale
22949,37.788,-78.88257,Lovingston
22952,37.95836,-78.97136,Lyndhurst
22957,38.22998,-78.1918,Montpelier Station
22958,37.8983,-78.89611,Nellysford
22959,37.93758,-78.64794,North Garden
22960,38.21992,-78.06624,Orange
22963,37.84793,-78.28524,Palmyra
22964,37.71722,-78.98861,Piney River
22967,37.79945,-79.0192,Roseland
22968,38.24111,-78.39407,Ruckersville
22969,37.79699,-78.69367,Schuyler
22971,37.75019,-78.80299,Shipman
22972,38.21746,-78.23451,Somerset
22973,38.33588,-78.46915,Stanardsville
22974,37.96207,-78.2753,Troy
22976,37.84555,-79.04036,Tyro
22980,38.09588,-78.88585,Waynesboro
22989,38.29328,-78.11943,Woodberry Forest
23002,37.34917,-77.96357,Amelia Court House
23004,37.68307,-78.40567,Arvonia
23005,37.75982,-77.4826,Ashland
23009,37.81038,-77.18717,Aylett
23011,37.47562,-76.80691,Barhamsville
23015,37.93127,-77.63124,Beaverdam
23021,37.40102,-76.37187,Bohannon
23022,37.7353,-78.26432,Bremo Bluff
23023,37.78293,-76.96586,Bruington
23024,37.92448,-77.77554,Bumpass
23025,37.41447,-76.36204,Cardinal
23027,37.64551,-78.13183,Cartersville
23030,37.34652,-77.05962,Charles City
23032,37.65552,-76.68199,Church View
23035,37.49809,-76.37679,Cobbs Creek
23038,37.75627,-78.14552,Columbia
23039,37.65503,-77.80596,Crozier
23040,37.51017,-78.24919,Cumberland
23043,37.55519,-76.34357,Deltaville
23045,37.42937,-76.27069,Diggs
23047,37.84765,-77.48973,Doswell
23050,37.48918,-76.41986,Dutton
23055,37.7706,-78.21852,Fork Union
23056,37.41809,-76.38724,Foster
23059,37.70424,-77.56539,Glen Allen
23060,37.65981,-77.53427,Glen Allen
23061,37.4331,-76.55019,Gloucester
23062,37.258,-76.50404,Gloucester Point
23063,37.71694,-77.99882,Goochland
23065,37.8016,-77.92979,Gum Spring
23066,37.49836,-76.28831,Gwynn
23068,37.49511,-76.33727,Hallieford
23069,37.76924,-77.32874,Hanover
23070,37.55065,-76.38528,Hardyville
23071,37.54326,-76.45228,Hartfield
23072,37.29543,-76.48148,Hayes
23075,37.54938,-77.31591,Henrico
23076,37.47328,-76.30499,Hudgins
23079,37.7248,-76.68941,Jamaica
23081,37.20758,-76.7617,Jamestown
23083,37.31899,-78.11111,Jetersville
23084,37.8864,-78.11162,Kents Store
23085,37.70623,-76.84205,King And Queen Court House
23086,37.66296,-77.05394,King William
23089,37.47593,-76.91212,Lanexa
23091,37.64647,-76.80167,Little Plymouth
23092,37.59402,-76.50755,Locust Hill
23093,38.00153,-78.03595,Louisa
23102,37.71053,-77.83325,Maidens
23103,37.6506,-77.72754,Manakin Sabot
23106,37.71524,-77.2062,Manquin
23108,37.65523,-76.73015,Mascot
23109,37.43263,-76.32445,Mathews
23110,37.58338,-76.76578,Mattaponi
23111,37.6112,-77.24697,Mechanicsville
23112,37.43738,-77.66394,Midlothian
23113,37.53935,-77.68093,Midlothian
23114,37.48317,-77.66054,Midlothian
23116,37.67152,-77.33458,Mechanicsville
23117,37.97736,-77.87365,Mineral
23119,37.45139,-76.27978,Moon
23120,37.40872,-77.78468,Moseley
23123,37.65238,-78.3031,New Canton
23124,37.55271,-77.05949,New Kent
23126,37.92285,-77.1448,Newtown
23128,37.4514,-76.43216,North
23129,37.705,-77.78261,Oilville
23130,37.39048,-76.26494,Onemo
23138,37.36245,-76.30062,Port Haywood
23139,37.54999,-77.93507,Powhatan
23140,37.43852,-77.04818,Providence Forge
23141,37.53042,-77.15791,Quinton
23146,37.7273,-77.70928,Rockville
23147,37.36965,-77.0391,Ruthville
23148,37.84262,-77.06223,Saint Stephens Church
23149,37.56794,-76.61599,Saluda
23150,37.50718,-77.25402,Sandston
23153,37.77641,-77.95719,Sandy Hook
23156,37.5244,-76.71106,Shacklefords
23160,37.62757,-77.84028,State Farm
23161,37.72152,-76.93037,Stevensville
23163,37.3572,-76.29765,Susan
23168,37.3942,-76.832,Toano
23169,37.58945,-76.46225,Topping
23173,37.57677,-77.54069,Richmond
23175,37.65343,-76.62407,Urbanna
23176,37.56934,-76.41991,Wake
23177,37.73088,-77.00295,Walkerton
23180,37.69977,-76.62045,Water View
23181,37.59809,-76.889,West Point
23185,37.24927,-76.68702,Williamsburg
23188,37.33849,-76.74925,Williamsburg
23192,37.81732,-77.68209,Montpelier
23219,37.54076,-77.43484,Richmond
23220,37.54923,-77.46012,Richmond
23221,37.5533,-77.49056,Richmond
23222,37.58265,-77.41894,Richmond
23223,37.55595,-77.37927,Richmond
23224,37.4985,-77.46563,Richmond
23225,37.51872,-77.51044,Richmond
23226,37.57774,-77.5198,Richmond
23227,37.61486,-77.44234,Richmond
23228,37.62588,-77.49125,Henrico
23229,37.58785,-77.56973,Henrico
23230,37.587,-77.49153,Richmond
23231,37.44219,-77.31903,Henrico
23233,37.64461,-77.62828,Henrico
23234,37.45293,-77.46752,Richmond
23235,37.51314,-77.56426,Richmond
23236,37.47438,-77.58634,Richmond
23237,37.40173,-77.45433,Richmond
23238,37.59595,-77.64138,Henrico
23250,37.50517,-77.32098,Richmond
23284,37.54759,-77.45273,Richmond
23294,37.63048,-77.54205,Henrico
23298,37.5416,-77.42954,Richmond
23301,37.68402,-75.6397,Accomac
23302,37.85858,-75.52197,Assawoman
23303,37.90346,-75.50562,Atlantic
23304,36.99586,-76.56993,Battery Park
23306,37.56859,-75.88148,Belle Haven
23307,37.43282,-75.87095,Birdsnest
23308,37.82431,-75.61773,Bloxom
23310,37.26407,-75.95676,Cape Charles
23314,36.95054,-76.53625,Carrollton
23315,36.73861,-76.84289,Carrsville
23316,37.29517,-75.96635,Cheriton
23320,36.75208,-76.21807,Chesapeake
23321,36.80067,-76.42189,Chesapeake
23322,36.62703,-76.26929,Chesapeake
23323,36.70785,-76.37949,Chesapeake
23324,36.79996,-76.27517,Chesapeake
23325,36.81507,-76.239,Chesapeake
23336,37.95461,-75.33759,Chincoteague Island
23337,37.93332,-75.46691,Wallops Island
23347,37.36026,-75.96798,Eastville
23350,37.51489,-75.87428,Exmore
23354,37.47806,-75.90225,Franktown
23356,37.9905,-75.39228,Greenbackville
23357,37.75862,-75.67459,Greenbush
23358,37.64406,-75.86495,Hacksneck
23359,37.88643,-75.60422,Hallwood
23389,37.65731,-75.83226,Harborton
23395,37.97051,-75.45159,Horntown
23398,37.52054,-75.93971,Jamesville
23401,37.62776,-75.77843,Keller
23405,37.41466,-75.91969,Machipongo
23407,37.8432,-75.55362,Mappsville
23408,37.4533,-75.84587,Marionville
23409,37.88017,-75.64709,Mears
23410,37.63802,-75.74306,Melfa
23413,37.4653,-75.85356,Nassawadox
23414,37.81375,-75.58688,Nelsonia
23415,37.97459,-75.53443,New Church
23416,37.93371,-75.557,Oak Hall
23417,37.73061,-75.76687,Onancock
23418,37.63821,-75.66926,Onley
23420,37.58275,-75.81166,Painter
23421,37.76564,-75.61429,Parksley
23422,37.63647,-75.82397,Pungoteague
23423,37.52361,-75.73969,Quinby
23426,37.92706,-75.67506,Sanford
23427,37.9124,-75.71344,Saxis
23430,36.98615,-76.66337,Smithfield
23432,36.87099,-76.55097,Suffolk
23433,36.90763,-76.49183,Suffolk
23434,36.70163,-76.59074,Suffolk
23435,36.83751,-76.4803,Suffolk
23436,36.89516,-76.50873,Suffolk
23437,36.63533,-76.80256,Suffolk
23438,36.58116,-76.69749,Suffolk
23440,37.83048,-75.99019,Tangier
23441,37.71208,-75.69943,Tasley
23442,37.90127,-75.56874,Temperanceville
23451,36.87175,-76.00689,Virginia Beach
23452,36.84604,-76.09197,Virginia Beach
23453,36.785,-76.07679,Virginia Beach
23454,36.83216,-76.02616,Virginia Beach
23455,36.88974,-76.1441,Virginia Beach
23456,36.73435,-76.03492,Virginia Beach
23457,36.61686,-76.01576,Virginia Beach
